AgencyID,Agency_Name,Standard_Name,Region,Region_Code,City
A218,Kamloops Salvation Army,Kamloops Salvation Army,Thompson Okanagan , SIBC,
A219,Karis Support Society,Karis Support Society,Thompson Okanagan , SIBC,Kelowna
A220,Kateslem Youth Society,Kateslem Youth Society,Lower Mainland , LMFV,Mission
A221,Kehila Society,Kehila Society of Richmond,Lower Mainland , LMFV,Richmond
A221,Kehila Society of Richmond,Kehila Society of Richmond,Lower Mainland , LMFV,Richmond
A222,Kelowna Community Fridge,Kelowna Community Fridge,Thompson Okanagan , SIBC,Kelowna
A223,Kelowna Friendship Society,Kelowna Friendship Society,Thompson Okanagan , SIBC,Kelowna
A224,Kenn Borek Aquatic Centre (pool)(city),Kenn Borek Aquatic Centre (pool)(city),North Coast,North,Dawson Creek
A225,Ki-Low-Na Friendship Society,Ki-Low-Na Friendship Society,Thompson Okanagan , SIBC,Kelowna
A226,Kinsight Community Society,Kinsight Community Society ,Lower Mainland , LMFV,Coquitlam
A226,Kinsight Community Society ,Kinsight Community Society ,Lower Mainland , LMFV,Coquitlam
A227,Kitimat Public Library,Kitimat Public Library,Lower Mainland , LMFV,Coquitlam
A228,Kitsilano Neighbourhood House,Kitsilano Neighbourhood House,Lower Mainland , LMFV,Vancouver
A229,Kiwassa,Kiwassa Neighbourhood House,Lower Mainland , LMFV,Vancouver
A229,Kiwassa Neighbourhood House,Kiwassa Neighbourhood House,Lower Mainland , LMFV,Vancouver
A230,Ksan House Society,Ksan House Society,North Coast,North,Terrace
A231,Kwakiutl Health Center,Kwakiutl Health Center,Vancouver Island ,CNVI,
A232,Kw'umut Lelum Child & Family Services,Kw'umut Lelum Child & Family Services,Vancouver Island ,CNVI,
A233,Ladysmith Family and Friends ,Ladysmith Family and Friends ,Vancouver Island ,CNVI,Ladysmith
A234,Laichwiltach Family Life Society,Laichwiltach Family Life Society,Vancouver Island , CNVI,Campbell River
A234,Laichwiltach Family Life Society ,Laichwiltach Family Life Society,Vancouver Island , CNVI,Campbell River
A235,Lakes District News,Lakes District News,North Coast,North,Burns Lake
A236,Lakeside Pharmacy,Lakeside Pharmacy,North Coast,North,Burns Lake
A237,Langley Community Services Society,Langley Community Services Society,Lower Mainland , LMFV,Langley
A237,Langley Community Services Society ,Langley Community Services Society,Lower Mainland , LMFV,Langley
A238,Langley Teachers Assn,Langley Teachers Assn,Lower Mainland , LMFV,Langley
A239,LAUNCH Day (Dawson Creek Mall),LAUNCH Day (Dawson Creek Mall),North Coast,North,Dawson Creek
A240,LAUNCH DAY at Pine Centre Mall,LAUNCH DAY at Pine Centre Mall,North Coast,North,Dawson Creek
A241,Lawson Lundell,Lawson Lundell,Lower Mainland , LMFV,Vancouver
A242,LeBlanc Boutique,LeBlanc Boutique,Lower Mainland , LMFV,Vancouver
A243,Link-2 - AIR QUEEN,Link-2 - AIR QUEEN,,,
A243,Link-2 Enterprise / AIRQUEEN,Link-2 - AIR QUEEN,,,
A243,Link-2 Enterprise / AIRQUEEN - 2nd Donation - Flood Response,Link-2 - AIR QUEEN,,,
A244,Little Mountain Neighbourhood House,Little Mountain Neighbourhood House,Lower Mainland , LMFV,Vancouver
A245,LiUNA,LiUNA,Lower Mainland , LMFV,Surrey
A246,"Living Positive Resource Centre, Okanagan","Living Positive Resource Centre, Okanagan",Thompson Okanagan , SIBC,Kelowna
A247,LivWell Squamish,LivWell Squamish,Lower Mainland , LMFV,Squamish
A248,Local Newspaper,Local Newspaper,,,
A249,Logan Lake WHY,Logan Lake WHY,Cariboo , TNC,
A250,London Drugs,London Drugs,,,
A250,London Drugs (2nd Donation,London Drugs,,,
A250,London Drugs Purchase #2 fully received,London Drugs,,,
A250,London Drugs Purchase for Maple Leaf Farms,London Drugs,,,
A251,Lower Lonsdale,Lower Lonsdale,,,
A252,Lower Mainland Down Syndrome Society,Lower Mainland Down Syndrome Society,Lower Mainland , LMFV,Surrey
A253,Lower Mainland Purpose Society,Lower Mainland Purpose Society,Lower Mainland , LMFV,Surrey
A254,Lower Similkameen Indian Band,Lower Similkameen Indian Band,Kootenay , SIBC,
A255,Luisa Bucci,Luisa Bucci,Lower Mainland , LMFV,Squamish
A256,Magical Hearts,Magical Hearts,,,
A257,Make Space Storage,Make Space Storage,Cariboo , TNC,Prince George
A258,Mamas for Mamas,Mamas for Mamas,Lower Mainland , LMFV,Richmond
A259,Mamas for Mamas - Vancouver,Mamas for Mamas Vancouver,Lower Mainland , LMFV,Richmond
A259,Mamas for Mamas Vancouver,Mamas for Mamas Vancouver,Lower Mainland , LMFV,Richmond
A260,Marpole Oakridge Family Place Society,Marpole Oakridge Family Place Society,Lower Mainland , LMFV,Vancouver
A261,Metis Association (Nanaimo),Metis Association (Nanaimo),Vancouver Island ,CNVI,
A262,Metis Community Services Society of BC,Metis Community Services Society of BC,Thompson Okanagan , SIBC,Kelowna
A263,Métis Nation BC,Métis Nation BC,Lower Mainland , LMFV,Surrey
A264,Metis Nation Columbia River Society,Metis Nation Columbia River Society,Lower Mainland , LMFV,Surrey
A265,Metro Vancouver Housing,Metro Vancouver Housing,Lower Mainland ,LMVI,
A266,Mid Island Metis Nation,Mid Island Metis Nation,Vancouver Island ,CNVI,Naniamo
A267,Milieu Family Services,Milieu Family Services,Lower Mainland , LMFV,Surrey
A268,Miranda Coombes,Miranda Coombes,,,
A269,Mission Association For Community Living,Mission Association For Community Living,Lower Mainland , LMFV,Mission
A270,Mission Community Services,Mission Community Services Society,Lower Mainland , LMFV,Mission
A270,Mission Community Services,Mission Community Services Society,Lower Mainland , LMFV,Mission
A270,Mission Community Services Society,Mission Community Services Society,Lower Mainland , LMFV,Mission
A271,Mission Friendship Centre Society,Mission Friendship Centre Society,Lower Mainland , LMFV,Mission
A272,Mission Health and Wellness,Mission Health and Wellness,Lower Mainland , LMFV,Mission
A273,Mission Possible,Mission Possible,Lower Mainland , LMFV,Vancouver
A273,Mission Possible ,Mission Possible,Lower Mainland , LMFV,Vancouver
A274,Modern Match/Simply Beautiful,Modern Match/Simply Beautiful,Other,Other,Other
A275,Mona (Food Pantry),Mona (Food Pantry),Other,Other,Other
A276,MOSAIC,MOSAIC,Lower Mainland , LMFV,Vancouver
A277,Mount Pleasant Neighbourhood House,Mount pleasant neighbourhood house ,Lower Mainland , LMFV,Vancouver
A277,Mount pleasant neighbourhood house ,Mount pleasant neighbourhood house ,Lower Mainland , LMFV,Vancouver
A278,MP Makeup Artistry,MP Makeup Artistry,Cariboo , TNC,Prince George
A278,MP Makeup Artistry ,MP Makeup Artistry,Cariboo , TNC,Prince George
A279,MPA Society,MPA Society,Lower Mainland , LMFV,Vancouver
A280,Nahounil Gas Bar,Nahounil Gas Bar,,,
A281,Nak'Azdli Whut'en,Nak'Azdli Whut'en,,,
A282,Nanaimo Brain Injury,Nanaimo Brain Injury,Vancouver Island ,CNVI,
A283,Nanaimo Diability Resource Centre,Nanaimo Diability Resource Centre,Vancouver Island ,CNVI,
A284,Nanaimo Family Life Association,Nanaimo Family Life Association,Vancouver Island , CNVI,Nanaimo
A285,Neskonlith Indian Band,Neskonlith Indian Band,Cariboo , TNC,
A286,Network Ministries,Network Ministries,North Coast,North,Dawson Creek
A287,New Age /insights,New Age /insights,North Coast,North,Dawson Creek
A288,New View Society,New View Society,Lower Mainland , LMFV,Port Coquitlam
A289,New Westminster Family Place,New Westminster Family Place,Lower Mainland , LMFV,New Westminster
A290,NewView Society,NewView Society,Lower Mainland , LMFV,Port Coquitlam
A291,Nikki Drive,Nikki Drive,,,
A292,Nooaitch Indian Band,Nooaitch Indian Band,Thompson Okanagan , SIBC,
A293,North Island Crisis & Counselling,North Island Crisis & Counselling,Vancouver Island ,CNVI,
A294,North Island Metis,North Island Metis,Vancouver Island , CNVI,Port Hardy
A294,North Island Metis Association,North Island Metis,Vancouver Island , CNVI,Port Hardy
A295,North Shore Community Resources Society,North Shore Community Resources Society,Lower Mainland , LMFV,North Vancouver
A296,north shore neighbourhood house,North Shore Neighbourhood House,Lower Mainland , LMFV,North Vancouver
A297,North Shore Women's Centre,North Shore Women's Centre,Lower Mainland , LMFV,North Vancouver
A298,Northern Rockies Regional Recreation,Northern Rockies Regional Recreation,North Coast,North,Fort Nelson
A299,Northern Savings Credit Union,Northern Savings Credit Union,,,
A300,NS Neighbourhood House,NS Neighbourhood House,Lower Mainland , LMFV,Vancouver
A301,NS Women's Centre,NS Women's Centre,Lower Mainland , LMFV,Vancouver
A302,Okanagan Boys and Girls Clubs,Okanagan Boys and Girls Clubs,Thompson Okanagan , SIBC,Penticton
A303,OneSky Community Resources Society,OneSky Community Resources Society,Kootenay , SIBC,
A304,OneSky Foundry,OneSky Foundry,Kootenay , SIBC,
A305,Operation Street Angels,Operation Street Angels,Kootenay , SIBC,
A306,Options Community Services,Options Community Services,Lower Mainland , LMFV,Surrey
A306,Options Community Services ,Options Community Services,Lower Mainland , LMFV,Surrey
A306,Options Community Services Society,Options Community Services,Lower Mainland , LMFV,Surrey
A307,Options for Sexual Health ,Options for Sexual Health ,Lower Mainland , LMFV,Surrey
A308,Our Social Collective,Our Social Collective,North Coast,North,Dawson Creek
A309,P&G Donation,P&G Donation,,,
A310,P&G Purchase (Veritiv),P&G Purchase (Veritiv),,,
A311,PACE Society,PACE Society,Lower Mainland , LMFV,Vancouver
A312,Pacific  Immigrant Resources Society,Pacific  Immigrant Resources Society,Lower Mainland , LMFV,Vancouver
A313,Pacific Association of First Nations Women,Pacific Association of First Nations Women,Lower Mainland , LMFV,Vancouver
A314,Pacific Charetered Advisors,Pacific Charetered Advisors,Lower Mainland , LMFV,Vancouver
A314,Pacific Charetered Advisors ,Pacific Charetered Advisors,Lower Mainland , LMFV,Vancouver
A315,Pacific Community Church,Pacific Community Church,Lower Mainland , LMFV,Vancouver
A316,Pacific Immigrant Resources Society,Pacific Immigrant Resources Society,Lower Mainland , LMFV,Vancouver
A316,Pacific Immigrant Resources Socitey ,Pacific Immigrant Resources Society,Lower Mainland , LMFV,Vancouver
A317,Parkgate Commnity Services Society,Parkgate Commnity Services Society,Lower Mainland , LMFV,Vancouver
A318,Partners in Resources Inc.,Partners in Resources Inc.,Thompson Okanagan , SIBC,Kelowna
A319,Pathfinders,Pathfinders,Lower Mainland , LMFV,Vancouver
A320,PCL Construction,PCL Construction,Thompson Okanagan , SIBC,Kelowna
A321,Pembina,Pembina,,,
A322,People in Motion,People in Motion,Thompson Okanagan , SIBC,
A323,PGSAC,PGSAC,Cariboo , TNC,Prince George
A324,Pharmasave,Pharmasave,Lower Mainland , LMFV,Langley
A325,Phoenix Transition Society,Phoenix Transition Society,Lower Mainland ,LMVI,
A326,PHSA - Primary Care & Community Information Systems,PHSA - Primary Care & Community Information Systems,Lower Mainland ,LMFV,Vancouver
A327,PICS ( harmony Second stage House),PICS ( harmony Second stage House),Lower Mainland , LMFV,Surrey
A328,PIRS,PIRS,Lower Mainland , LMFV,Vancouver
A329,Place Maillardville Community Centre,Place Maillardville Community Centre,Lower Mainland , LMFV,Coquitlam
A330,PNE - Metro Vancouver Tabling Event (research project distribution),PNE - Metro Vancouver Tabling Event (research project distribution),Lower Mainland , LMFV,Vancouver
A331,Port Alberni Friendship Center,Port Alberni Friendship Center,Vancouver Island ,CNVI,
A332,Post & Row Local Taphouse,Post & Row Local Taphouse,North Coast,North,Dawson Creek
A332,Post & Row Local Taphouse ,Post & Row Local Taphouse,North Coast,North,Dawson Creek
A333,Powell Place,Powell Place,Lower Mainland , LMFV,Surrey
A334,Powell River & Region Transition hose Society,Powell River & Region Transition hose Society,Lower Mainland , LMFV,Surrey
A335,Powell River Action Centre - Foodbank,Powell River Action Centre - Foodbank,Lower Mainland , LMFV,Surrey
A336,Powell River Educational Services Society,Powell River Educational Services Society,Lower Mainland , LMFV,Surrey
A337,PPWC Local 9,PPWC Local 9,North Coast,North,Prince George
A338,Prince Rupert & District Métis Society,Prince Rupert & District Métis Society,North Coast,North,Prince Rupert
A339,Prince Rupert Port Authority,Prince Rupert Port Authority,North Coast,North,Prince Rupert
A340,Project AIM,Project AIM Community Association,Lower Mainland , LMFV,Agassiz
A340,Project AIM Community Association,Project AIM Community Association,Lower Mainland , LMFV,Coquitlam
A341,"Providing Advocacy, Counselling & Education (PACE) Society","Providing Advocacy, Counselling & Education (PACE) Society",Lower Mainland , LMFV,Vancouver
A342,Rainbow Refugee,rainbow refugee society ,Lower Mainland , LMFV,Vancouver
A342,rainbow refugee society ,rainbow refugee society ,Lower Mainland , LMFV,Vancouver
A343,Rainforest Wellness,Rainforest Wellness,North Coast,North,Kitimat
A343,Rainforest Wellness Pharmacy,Rainforest Wellness,North Coast,North,Kitimat
A344,RASS,RASS,Lower Mainland , LMFV,Richmond
A345,RBC,RBC,,,
A345,RBC - Pine Centre,RBC,North Coast,North,Prince George
A345,RBC - Pine Centre Mall,RBC,North Coast,North,Prince George
A345,RBC - Victoria St,RBC,North Coast,North,Prince George
A345,RBC volunteer,RBC,North Coast,North,Prince George
A346,REACH Multicultural Family Centre,REACH Multicultural Family Centre,Lower Mainland , LMFV,Vancouver
A346,Reach Multicutural Family Centre,REACH Multicultural Family Centre,Lower Mainland , LMFV,Vancouver
A347,Real Food Coffee Shop,Real Food Coffee Shop,North Coast,North,Prince George
A348,Rebel Beauty Inc.,Rebel Beauty Inc.,North Coast,North,Dawson Creek
A348,Rebel Beauty Inc. ,Rebel Beauty Inc.,North Coast,North,Dawson Creek
A349,Red Apple,Red Apple,Lower Mainland , LMFV,Richmond
A349,Red Apple Store,Red Apple,Lower Mainland , LMFV,Richmond
A350,Red Fox Healthy Living Society,Red Fox Healthy Living Society,Lower Mainland , LMFV,Vancouver
A351,Red Raven Art Gallery,Red Raven Art Gallery,Lower Mainland , LMFV,Richmond
A352,Red Tent,Red Tent,Lower Mainland , LMFV,Richmond
A352,Red Tent Project,Red Tent,Lower Mainland , LMFV,Richmond
A353,"Richmond Cares, Richmond Gives","Richmond Cares, Richmond Gives",Lower Mainland , LMFV,Richmond
A354,Richmond Family Place Society,Richmond Family Place Society,Lower Mainland , LMFV,Richmond
A355,Richmond Family Place Socitey,Richmond Family Place Socitey,Lower Mainland , LMFV,Richmond
A356,Ridge Meadow Ridge Community Action Table (CAT),Ridge Meadow Ridge Community Action Table (CAT),Lower Mainland , LMFV,Maple Ridge
A357,Ridge Meadows Community Action Table,Ridge Meadows Community Action Table,Lower Mainland , LMFV,Maple Ridge
A358,Rmcs,Rmcs,Lower Mainland , LMFV,Richmond
A359,Rocky Mountain Chocolate,Rocky Mountain Chocolate,Lower Mainland , LMFV,Vancouver
A360,Roots Canada,Roots Canada,Lower Mainland , LMFV,Vancouver
A361,SAFE Society ,SAFE Society ,Thompson Okanagan , SIBC,
A362,Safeway,Safeway,Lower Mainland , LMFV,Vancouver
A363,Sage Haven,Sage Haven,Vancouver Island ,CNVI,
A364,Salvation Army - West Kelowna,Salvation Army - West Kelowna,Kootenay , SIBC,
A365,Salvation Army Vernon,Salvation Army Vernon,Thompson Okanagan , SIBC,
A366,Sana'aih Market,Sana'aih Market,Lower Mainland , LMFV,Vancouver
A367,SARA for Women Society,SARA for Women Society,Lower Mainland , LMFV,Mission
A368,Sardis Doorway for Mothers & Children,Sardis Doorway for Mothers & Children Society,Lower Mainland , LMFV,Chilliwack
A368,Sardis Doorway for Mothers & Children Society,Sardis Doorway for Mothers & Children Society,Lower Mainland , LMFV,Chilliwack
A368,Sardis Doorway for Mothers & Children Society ,Sardis Doorway for Mothers & Children Society,Lower Mainland , LMFV,Chilliwack
A369,Save On Foods - College Heights,Save-On Foods,North Coast,North,Prince George
A369,Save On Foods - Hart Hwy,Save-On Foods,North Coast,North,Prince George
A369,Save On Foods - Parkwood Mall,Save-On Foods,North Coast,North,Prince George
A369,Save On Foods - Spruceland Mall,Save-On Foods,North Coast,North,Prince George
A369,Save On Foods ( Rainbow Ref to provide tally),Save-On Foods,North Coast,North,Prince George
A369,Save-On Foods,Save-On Foods,North Coast,North,Prince George
A369,Save-on-Foods,Save-On Foods,North Coast,North,Prince George
A369,Save-On-Foods (College Heights),Save-On Foods,North Coast,North,Prince George
A369,Save-On-Foods (Hart Highway),Save-On Foods,North Coast,North,Prince George
A369,Save-On-Foods (Parkwood),Save-On Foods,North Coast,North,Prince George
A369,Save-On-Foods (Spruceland),Save-On Foods,North Coast,North,Prince George
A370,Scotiabank,Scotiabank,,,
A371,Sea to Sky Community Services,Sea to Sky Community Services,Lower Mainland , LMFV,Squamish
A371,Sea to Sky Community Services Society,Sea to Sky Community Services,Lower Mainland , LMFV,Squamish
A372,Secwepemc Child and Family Services,Secwepemc Child and Family Services,Thompson Okanagan , SIBC,Kamloops
A373,Sentinal Secondary,Sentinal Secondary,Lower Mainland , LMFV,Vancouver
A373,Sentinal Secondary ,Sentinal Secondary,Lower Mainland , LMFV,Vancouver
A374,Sereena's Housing for Women,Sereena's Housing for Women,Lower Mainland , LMFV,Vancouver
A375,SFU Donation,SFU Donation,Lower Mainland , LMFV,Vancouver
A376,"Shamma Taank , Ecole Panorama Ridge Secondary","Shamma Taank , Ecole Panorama Ridge Secondary",Lower Mainland , LMFV,Vancouver
A377,SHARE Family & Community Services,SHARE Family & Community Services,Lower Mainland , LMFV,Coquitlam
A377,SHARE Family and Community Services,SHARE Family & Community Services,Lower Mainland , LMFV,Coquitlam
A378,SHARE Food Bank,SHARE Food Bank,Lower Mainland , LMFV,Coquitlam
A379,Shell (Calgary and FSJ),Shell (Calgary and FSJ),Lower Mainland , LMFV,Coquitlam
A380,Shoppers Drug Mart,Shoppers Drug Mart,Lower Mainland , LMFV,Coquitlam
A381,Shuswap Children's Association,Shuswap Children's Association,Thompson Okanagan , SIBC,
A382,SIBC,SIBC,Thompson Okanagan , SIBC,Trail
A383,SIBIC - Trail,SIBIC - Trail,Thompson Okanagan , SIBC,Trail
A384,Skwah First Nations,Skwah First Nations,Lower Mainland , LMFV,Chilliwack 
A385,Soap for Hope Canada Society,Soap for Hope Canada Society,Vancouver Island , CNVI,Victoria
A386,"Society of St Vincent de Paul, Immaculate Conception Church Conference","Society of St Vincent de Paul, Immaculate Conception Church Conference",Thompson Okanagan , SIBC,Kelowna
A387,SOSBIS,SOSBIS,Kootenay , SIBC,
A388,Sources Women's Place,Sources Women's Place,Lower Mainland , LMFV,White Rock
A389,South Peace Secondary,South Peace Secondary,Lower Mainland , LMFV,Surrey
A389,South Peace Secondary ,South Peace Secondary,Lower Mainland , LMFV,Surrey
A389,South Peace Secondary School,South Peace Secondary,Lower Mainland , LMFV,Vancouver
A390,South Vancouver Neighbourhood House,South Vancouver Neighbourhood House,Lower Mainland , LMFV,Vancouver
A391,Sparks Society ,Sparks Society ,Kootenay , SIBC,
A392,SRO Collaborative,SRO Collaborative,Lower Mainland , LMFV,Vancouver
A393,St Michael and all angels Cathedral cupboard ,St Michael and all angels Cathedral cupboard ,,,
A394,st?l??w? Arts & Cultural Society,st?l??w? Arts & Cultural Society,,,
A395,Sto:lo Health,Sto:lo Health,Lower Mainland , LMFV,Chilliwack
A395,Sto:lo Health Agency,Sto:lo Health,Lower Mainland , LMFV,Chilliwack
A395,Sto:lo Health Service Agency,Sto:lo Health,Lower Mainland , LMFV,Chilliwack
A396,Stolo Health Services,Stolo Health Services,Lower Mainland , LMFV,Chilliwack
A397,Strait,Strait,Lower Mainland , LMFV,Chilliwack
A398,Strait ,Strait ,Lower Mainland , LMFV,Chilliwack
A399,Stride Avenue Community School,Stride Avenue Community School,Lower Mainland , LMFV,Burnaby
A400,St'uxwtews | Bonaparte First Nation,St'uxwtews | Bonaparte First Nation,Thompson Okanagan ,SIBC,
A401,Sunlife and Business Center,Sunlife and Business Center,Lower Mainland , LMFV,Sechelt
A402,SUNSHINE COAST COMM SERV SOCIETY,SUNSHINE COAST COMM SERV SOCIETY,Lower Mainland , LMFV,Sechelt
A403,Sunshine Coast Community Services,Sunshine Coast Community Services,Lower Mainland , LMFV,Sechelt
A404,Sunshine Coast Community Services Society,Sunshine Coast Community Services Society,Lower Mainland , LMFV,Sechelt
A404,Sunshine Coast Community Services Society (Arrowhead Clubhouse),Sunshine Coast Community Services Society,Lower Mainland , LMFV,Sechelt
A405,Surrey District 36,Surrey District 36,Lower Mainland , LMFV,Surrey
A406,Surrey Food Hub - Spoke 1,Surrey Food Hub,Lower Mainland , LMFV,Surrey
A406,Surrey Food Hub - Spoke 2,Surrey Food Hub,Lower Mainland , LMFV,Surrey
A406,Surrey Food Hubs (Kendahl delivered),Surrey Food Hub,Lower Mainland , LMFV,Surrey
A407,Surrey Womens Centre,Surrey Womens Centre,Lower Mainland , LMFV,Surrey
A407,Surrey women's centre,Surrey Womens Centre,Lower Mainland , LMFV,Surrey
A407,Surrey Women's Centre Society,Surrey Womens Centre,Lower Mainland , LMFV,Surrey
A408,Tamitik Status of Women,Tamitik Status of Women,Lower Mainland ,LMVI,
A409,Taylor Bysouth,Taylor Bysouth,Kootenay,SIBC,Kuskonook
A410,TD,TD,Lower Mainland , LMFV,New Westminster
A411,Terrace Chamber of Commerce,Terrace Chamber of Commerce,North Coast,North,Terrace
A412,Terrace Public Library,Terrace Public Library,North Coast,North,Terrace
A413,The Ashcroft HUB Society,The Ashcroft HUB Society,Cariboo , TNC,Ashcroft
A414,The Bridge Youth & Family Services Society,The Bridge Youth & Family Services Society,Thompson Okanagan , SIBC,Kelowna
A415,The Creative Centre Society,The Creative Centre Society for Mental Wellness,Lower Mainland , LMFV,Abbotsford
A415,The Creative Centre Society for Mental Wellness,The Creative Centre Society for Mental Wellness,Lower Mainland , LMFV,Abbotsford
A416,The Elizabeth  Fry Society of Greater Vancouver,The Elizabeth  Fry Society of Greater Vancouver,Lower Mainland , LMFV,Burnaby
A417,The Elizabeth Bagshaw Clinic,The Elizabeth Bagshaw Clinic,Lower Mainland , LMFV,Burnaby
A418,The Family Education & Support Centre,The Family Education & Support Centre,Lower Mainland , LMFV,Maple Ridge
A419,The Family Education and Support Centre,The Family Education and Support Centre,Lower Mainland , LMFV,Maple Ridge
A420,The John Howard Society of North Island,The John Howard Society of North Island,Vancouver Island ,CNVI,Courtenay
A421,The John Howard Society of Okanagan & Kootenay,The John Howard Society of Okanagan & Kootenay,Vancouver Island ,CNVI,Courtenay
A422,The Kehila Society of Richmond,The Kehila Society of Richmond,Lower Mainland , LMFV,Richmond
A423,The Little Food Bank in the Park,The Little Food Bank in the Park,Lower Mainland , LMFV,Chilliwack
A424,The Lower Mainland Purpose Society,The Lower Mainland Purpose Society,Lower Mainland , LMFV,Chilliwack
A425,The Mustard Seed,The Mustard Seed,Vancouver Island ,CNVI,Victoria
A426,The Red Badge Foundation,The Red Badge Foundation ,Lower Mainland , LMFV,Chilliwack
A426,The Red Badge Foundation ,The Red Badge Foundation ,Lower Mainland , LMFV,Chilliwack
A427,The Salvation Army Boundless Vancouver,The Salvation Army Boundless Vancouver,Lower Mainland , LMFV,Vancouver
A428,The Skills Centre,The Skills Centre,Kootenay , SIBC,Trail
A429,The Tree,The Tree,Thompson Okanagan , SIBC,Kamloops
A430,The Vivian,The Vivian,Lower Mainland , LMFV,Vancouver
A431,Tilicum Lelum,Tilicum Lelum,Vancouver Island , CNVI,Nanaimo
A432,TNC - no specific item breakdown,TNC - no specific item breakdown,,,
A433,Touchstone Family Association,Touchstone Family Association,Lower Mainland , LMFV,Richmond
A434,Trail FAIR Society,Trail FAIR Society,Kootenay , SIBC,Trail
A435,Trail Family and Individual Resource (FAIR) Centre Society,Trail Family And Individual Resources Society,Kootenay , SIBC,Trail
A435,Trail Family And Individual Resources Society,Trail Family And Individual Resources Society,Kootenay , SIBC,Trail
A436,Trail Salvation Army,Trail Salvation Army,Kootenay , SIBC,
A437,Trail United Church Food Bank,Trail United Church Food Bank,Kootenay , SIBC,
A438,Trail Youth Action Network,Trail Youth Action Network,Kootenay , SIBC,Trail
A439,Trail Youth Centre,Trail Youth Centre,Kootenay , SIBC,Trail
A440,Tri City Transitions Society,Tri-City Transitions Society,Lower Mainland , LMFV,Port Coquitlam
A440,Tri City Transitions Society,Tri-City Transitions Society,Lower Mainland , LMFV,Port Coquitlam
A440,Tricities,Tri-City Transitions Society,Lower Mainland , LMFV,Port Coquitlam
A440,Tri-City Transition Society,Tri-City Transitions Society,Lower Mainland , LMFV,Port Coquitlam
A440,Tri-City Transitions Society,Tri-City Transitions Society,Lower Mainland , LMFV,Port Coquitlam
A441,Ukraine Harmony Foundation ,Ukraine Harmony Foundation,Lower Mainland , LMFV,Burnaby
A442,UNBC,UNBC,North Coast,North,Prince George
A442,UNBC ,UNBC,North Coast,North,Prince George
A442,UNBC (Terrace campus),UNBC,North Coast,North,Prince George
A443,CIFPC-United Church Food Bank,United Church Food Bank ,Kootenay , SIBC,
A444,United for Literacy/ Littératie Ensemble,United for Literacy/ Littératie Ensemble,Lower Mainland , LMFV,Vancouver
A445,United for Ukraine Extras,United for Ukraine Extras,Lower Mainland , LMFV,Vancouver
A446,United Way Food Hubs,United Way Food Hubs,Lower Mainland , LMFV,Vancouver
A447,University of Fraser Valley,University of Fraser Valley,Lower Mainland , LMFV,Vancouver
A448,University of the Fraser Valley,University of the Fraser Valley,Lower Mainland , LMFV,Mission
A449,UNYA (Urban Native Youth Association),UNYA (Urban Native Youth Association),Lower Mainland , LMFV,Vancouver
A450,Upper Room Mission,Upper Room Mission,Thompson Okanagan , SIBC,
A451,Urban Native Youth Association,Urban Native Youth Association,Lower Mainland , LMFV,Vancouver
A452,UWLM,UWLM,Lower Mainland , LMFV,Burnaby
A453,UWNBC Office,UWNBC Office,Lower Mainland , LMFV,Vancouver
A453,UWNBC Office ,UWNBC Office,North Coast,North,Prince George
A454,VAFCS,VAFCS,North Coast,North,Prince George
A455,Valley Oak Medical Clinic,Valley Oak Medical Clinic,Lower Mainland , LMFV,Surrey
A456,Vancouver / Agassiz & Hope Food Banks,Vancouver / Agassiz & Hope Food Banks,Lower Mainland , LMFV,Vancouver
A457,Vancouver Aboriginal Child & Family,Vancouver Aboriginal Child & Family,Lower Mainland , LMFV,Vancouver
A457,Vancouver Aboriginal Child & Family Services Society,Vancouver Aboriginal Child & Family,Lower Mainland , LMFV,Vancouver
A457,Vancouver Aboriginal Child and Family Services Society,Vancouver Aboriginal Child & Family,Lower Mainland , LMFV,Vancouver
A458,VANCOUVER ABORIGINAL FRIENDSHIP CENTER SOCIETY,Vancouver Aboriginal Friendship Centre Society,Lower Mainland , LMFV,Vancouver
A458,Vancouver Aboriginal Friendship Centre Society,Vancouver Aboriginal Friendship Centre Society,Lower Mainland , LMFV,Vancouver
A458,Vancouver Aboriginal Friendship centre Society ,Vancouver Aboriginal Friendship Centre Society,Lower Mainland , LMFV,Vancouver
A458,Vancouver Aboriginal Friendship Society,Vancouver Aboriginal Friendship Centre Society,Lower Mainland , LMFV,Vancouver
A459,Vancouver Aboriginal Health Society,Vancouver Aboriginal Health Society,Lower Mainland , LMFV,Vancouver
A460,Vancouver AIDS Society,Vancouver AIDS Society,Lower Mainland , LMFV,Vancouver
A461,Vancouver Cedar Project,Vancouver Cedar Project,Lower Mainland , LMFV,Vancouver
A462,Vancouver Island Regional Library,Vancouver Island Regional Library,Lower Mainland , LMFV,Vancouver
A463,Vancouver Rape Relief & Women's Shelter,Vancouver Rape Relief & Women's Shelter,Lower Mainland , LMFV,Vancouver
A464,Vanderhoof Integris,Vanderhoof Integris,North Coast,North,Quesnel
A464,Vanderhoof Integris,Vanderhoof Integris,North Coast,North,Quesnel
A465,VDLC,VDLC,Lower Mainland , LMFV,Vancouver
A465,VDLC,VDLC,Lower Mainland , LMFV,Vancouver
A466,Veritiv Purchase,Veritiv,Lower Mainland , LMFV,New Westminster
A466,Veritiv Purchase,Veritiv,Lower Mainland , LMFV,New Westminster
