AgencyID,Agency_Name,Standard_Name,Region,Region_Code,City
A057,Campaign Donations (July 2020-Feb2021),Campaign Donations (July 2020-Feb2021),Lower Mainland ,LMFV,Vancouver
A058,Campaign Wrap Up LM,Campaign Wrap Up LM,Lower Mainland ,LMFV,Vancouver
A059,Campbell River and North Island Transition Society,Campbell River and North Island Transition Society,Vancouver Island , CNVI,Campbell River
A060,Campbell River Head Injury Support Society,Campbell River Head Injury Support Society,Vancouver Island , CNVI,Campbell River
A061,Canada Safeway,Canada Safeway,Vancouver Island , CNVI,Campbell River
A062,Canadian Mental Health Association ,Canadian Mental Health Association,Lower Mainland ,LMFV,Vancouver
A062,"Canadian Mental Health Association, Cowichan Valley Branch",Canadian Mental Health Association,Lower Mainland ,LMFV,Vancouver
A063,Cariboo Family Enrichment Centre,Cariboo Family Enrichment Centre,Cariboo , TNC,
A064,Cariboo Regional District Library,Cariboo Regional District Library,Cariboo , TNC,House
A065,Carrier Sekani Family Services,Carrier Sekani Family Services,North Coast,North,Burns Lake
A066,Cassels,Cassels,Lower Mainland ,LMFV,Vancouver
A067,CEDAR Outreach Society,CEDAR Outreach Society,Lower Mainland , LMFV,Abbotsford
A067,CEDAR Outreach Society of British Columbia,CEDAR Outreach Society,Lower Mainland , LMFV,Abbotsford
A068,Cedar Project,Cedar Project,Lower Mainland , LMFV,Abbotsford
A069,Central Middle School,Central Middle School,Vancouver Island ,CNVI,Victoria
A070,Central School,Central School,Vancouver Island ,CNVI,Victoria
A070,Central School ,Central School,Vancouver Island ,CNVI,Victoria
A071,Centre Cinema Dawson Creek (May 2nd),Centre Cinema Dawson Creek (May 2nd),North Coast,North,Dawson Creek
A072,Chamber of Commerce,Chamber of Commerce,Lower Mainland ,LMVI,Vancouver
A073,Cheamview Clubhouse (Creative Centre Society),Cheamview Clubhouse (Creative Centre Society),Lower Mainland ,LMVI,Chilliwack
A074,Cherryville Food Bank,Cherryville Food Bank,Thompson Okanagan , SIBC,
A075,Chetwynd Drug Mart,Chetwynd Drug Mart,Northeast,Northeast,Chetwynd
A076,Chetwynd Public Library,Chetwynd Public Library,Northeast,Northeast,Chetwynd
A077,Chia's Dream Closet,Chia's Dream Closet,Northeast,Northeast,Houston
A078,Children's Health Foundation of Vancouver Island - Qwalayu House,Children's Health Foundation of Vancouver Island - Qwalayu House,Vancouver Island ,CNVI,Victoria
A079,Chilliwack Community Services,Chilliwack Community Services,Lower Mainland , LMFV,Abbotsford
A080,CHILLIWACK RESOURCE CENTRE,CHILLIWACK RESOURCE CENTRE,Lower Mainland , LMFV,Abbotsford
A081,Chimo Community Services,Chimo Community Services,Lower Mainland , LMFV,Richmond
A082,Chloe Bell,Chloe Bell,Lower Mainland ,LMVI,Vancouver
A083,CIBC,CIBC,Lower Mainland ,LMVI,Vancouver
A084,CISV (Children's International Summer Villages - Vancouver Chapter),CISV (Children's International Summer Villages - Vancouver Chapter),Lower Mainland ,LMVI,Vancouver
A085,City Dream Centre Society,City Dream Centre Society,Lower Mainland ,LMVI,
A086,City of Burnaby,City of Burnaby,Lower Mainland ,LMVI,Burnaby
A087,City of Dawson Creek (3 locations),City of Dawson Creek (3 locations),North Coast,North,Dawson Creek
